"code_iris","x","y"
"011550000","845161.0","2111885.0"
"011560000","816365.5","2104756.5"
"011570000","788319.0","2116589.5"
"011580000","875526.0","2135772.0"
"011590000","796307.0","2151994.0"
"011600101","890055.0","2145874.5"
"011600102","890898.5","2145834.0"
"011600103","891360.0","2146724.0"
"011620000","864961.0","2096005.0"
"011630000","819059.5","2157191.0"
"011650000","791406.5","2121999.0"
"011660000","789388.0","2112978.5"
"011670000","792283.0","2137758.5"
"011690000","789805.0","2127523.0"
"011700000","847954.5","2137115.5"
"011710000","852811.5","2144343.0"
"011720000","839133.0","2149973.5"
"011730101","886757.5","2155192.0"
"011730102","884721.0","2156911.5"
"011730103","887982.5","2155893.5"
"011740000","866371.0","2141219.5"
"011750000","800906.5","2160590.0"
"011760000","858792.5","2124593.5"
"011770000","839392.5","2139093.5"
"011790000","793511.0","2143828.5"
"011800000","890709.5","2154951.5"
"011810000","853072.5","2141544.5"
"011820000","851785.5","2085599.5"
"011830000","789164.5","2125785.5"
"011840000","838906.0","2133493.5"
"011850000","851346.0","2112147.0"
"011860000","848502.5","2105607.5"
"011870000","860091.5","2121184.5"
"011880000","796931.5","2134752.0"
"011890000","865376.0","2122380.0"
"011900000","851505.0","2092682.5"
"011910000","846658.0","2120324.5"
"011920000","848719.0","2140216.0"
"011930000","857277.5","2078224.0"
"011940101","787575.0","2112578.0"
"011940102","788000.5","2110810.0"
"011950000","829931.5","2139553.5"
"011960000","813561.0","2155981.0"
"011970000","831448.0","2131657.5"
"011980000","814208.5","2108858.0"
"011990000","837962.5","2121330.5"
"012000000","844097.0","2126161.5"
"012020101","833082.5","2102855.0"
"012020102","833512.5","2103696.5"
"012030000","797680.5","2141621.5"
"012040000","860681.5","2133122.5"
"012050000","870673.0","2131584.0"
"012060000","847659.0","2122041.5"
"012070000","804962.0","2112846.5"
"012080000","866825.0","2095911.0"
"012090000","873605.0","2129588.5"
"012100000","876637.0","2149114.5"
"012110000","821155.5","2128073.5"
"012120000","816808.5","2160357.5"
"012130000","829261.0","2107483.0"
"012140000","842453.0","2133787.0"
"012150000","864839.0","2119679.0"
"012160000","849220.5","2087992.0"
"012180000","863959.5","2108869.5"
"012190000","847870.0","2095163.5"
"012210000","857428.0","2112913.5"
"012240000","823895.5","2092449.0"
"012250000","789059.0","2121005.5"
"012270000","862595.0","2091897.0"
"012280000","847188.5","2129445.5"
"012290000","816304.0","2151593.5"
"012300000","812837.5","2162797.0"
"012310000","797394.5","2154883.0"
"012320000","823818.0","2153591.0"
"012330000","849969.0","2091375.5"
"012340000","862778.5","2094749.0"
"012350000","811923.5","2120865.5"
"012360000","809646.0","2152528.0"
"012370000","852514.5","2138948.5"
"012380000","793289.0","2104153.5"
"012390000","866045.5","2089842.0"
"012400000","845733.0","2143982.5"
"012410000","831096.5","2142738.0"
"012420000","840259.0","2123057.0"
"012430000","787589.5","2119277.5"
"012440101","821123.0","2105389.0"
"012440102","823771.5","2103216.0"
"012440103","822671.5","2105512.5"
"012450000","834705.5","2131427.5"
"012460000","809048.0","2141622.5"
"012470000","882647.5","2157603.0"
"012480000","801038.5","2102814.5"
"012490101","803901.0","2093840.0"
"012490102","803842.0","2095589.5"
"012490103","801773.0","2097980.5"
"012500000","791921.5","2111262.5"
"012520000","791872.5","2130278.0"
"012540000","827111.5","2134426.5"
"012550000","842746.5","2093942.5"
"012570000","866601.0","2135995.5"
"012580000","790766.0","2124999.5"
"012590000","814102.5","2139311.5"
"012600000","811985.0","2106826.0"
"012610000","802424.5","2110299.0"
"012620101","807877.0","2103562.5"
"012620102","809606.0","2099166.5"
"012630000","787344.0","2123335.5"
"012640000","815088.0","2135144.0"
"012650000","851743.0","2136387.5"
"012660000","813671.5","2151098.0"
"012670000","845379.5","2136683.5"
"012680000","858954.5","2076627.0"
"012690000","852516.5","2132941.0"
"012710000","865596.5","2086097.5"
"012720000","806515.0","2132389.0"
"012730000","834476.5","2125746.0"
"012740000","854821.5","2131656.0"
"012750000","801967.5","2094427.0"
"012760000","811753.0","2095100.5"
"012770000","841622.0","2115910.5"
"012790000","842993.0","2112450.0"
"012800000","849127.5","2097886.5"
"012810000","889610.0","2148900.5"
"012820000","848836.5","2123237.5"
"012830102","854963.0","2144685.5"
"012830103","855146.5","2145180.5"
"012830104","854578.5","2144767.0"
"012830201","855246.5","2144471.5"
"012830202","855949.5","2144832.0"
"012830203","856086.5","2143387.5"
"012830301","855051.5","2145956.0"
"012830302","855573.5","2146500.0"
"012830303","856076.5","2145910.5"
"012830304","858120.5","2143730.0"
"012830305","853101.0","2147137.5"
"012830306","854744.0","2148482.0"
"012840000","798611.0","2157300.5"
"012850000","793379.5","2105243.5"
"012860000","865044.0","2088010.5"
"012880000","876050.5","2138921.5"
"012890101","822333.0","2134919.5"
"012890102","822571.0","2134002.0"
"012900000","820662.5","2101614.5"
"012910000","803187.0","2141849.0"
"012920000","856235.5","2123931.0"
"012930000","844796.0","2132559.5"
"012940000","860626.5","2080393.0"
"012950000","791839.0","2127729.0"
"012960000","825570.0","2158188.5"
"012970000","813683.5","2102657.0"
"012980000","860979.0","2137699.5"
"012990000","813089.5","2117443.0"
"013000000","857981.0","2131986.5"
"013010000","815814.5","2142788.5"
"013020000","865016.5","2094111.0"
"013030000","837896.5","2125930.0"
"013040000","833098.5","2121730.5"
"013050000","799019.5","2163433.0"
"013060000","796184.5","2143694.0"
"013070000","850569.5","2133330.0"
"013080000","878967.0","2133698.5"
"013090000","837770.5","2152038.0"
"013100000","857468.0","2081227.0"
"013110000","850653.0","2102748.5"
"013120000","834161.5","2151265.5"
"013130000","887922.5","2146686.5"
"013140000","828093.0","2117469.5"
"013160000","857161.0","2096164.5"
"013170000","833066.0","2136588.5"
"013180000","796014.5","2110629.0"
"013190000","801287.0","2123359.5"
"013200000","795765.5","2148368.5"
"013210000","831506.5","2133725.5"
"013220000","793490.5","2107115.5"
"013230000","798055.5","2161975.5"
"013250000","819414.0","2109653.0"
"013280000","807493.0","2128086.5"
"013290000","853382.5","2098114.5"
"013300000","856901.0","2116946.5"
"013310000","841181.5","2126642.5"
"013320000","798476.5","2147410.0"
"013330000","802951.5","2106472.0"
